macro,type,size,file,line
GPIOSET,struct gpio_req,8,12.1src/sys/sys/gpio.h,173
GPIOSETCONFIG,struct gpio_pin,76,12.1src/sys/sys/gpio.h,171
GPIOSETNAME,struct gpio_pin,76,12.1src/sys/sys/gpio.h,175
GPIOTOGGLE,struct gpio_req,8,12.1src/sys/sys/gpio.h,174
CDIOCCAPABILITY,struct ioc_capability,12,12.1src/sys/sys/cdio.h,275
CDIOCGETVOL,struct ioc_vol,4,12.1src/sys/sys/cdio.h,182
CDIOCPITCH,struct ioc_pitch,2,12.1src/sys/sys/cdio.h,240
CDIOCPLAYBLOCKS,struct ioc_play_blocks,8,12.1src/sys/sys/cdio.h,129
CDIOCPLAYMSF,struct ioc_play_msf,6,12.1src/sys/sys/cdio.h,222
CDIOCPLAYTRACKS,struct ioc_play_track,4,12.1src/sys/sys/cdio.h,122
CDIOCREADSUBCHANNEL,struct ioc_read_subchannel,12,12.1src/sys/sys/cdio.h,145
CDIOCSETPATCH,struct ioc_patch,4,12.1src/sys/sys/cdio.h,176
CDIOCSETVOL,struct ioc_vol,4,12.1src/sys/sys/cdio.h,184
CDIOREADTOCENTRY,struct ioc_read_toc_single_entry,12,12.1src/sys/sys/cdio.h,170
CDIOREADTOCENTRYS,struct ioc_read_toc_entry,8,12.1src/sys/sys/cdio.h,162
CDIOREADTOCHEADER,struct ioc_toc_header,4,12.1src/sys/sys/cdio.h,153
CONS_BELLTYPE,int,4,12.1src/sys/sys/consio.h,122
CONS_BLANKTIME,int,4,12.1src/sys/sys/consio.h,94
CONS_CURRENT,int,4,12.1src/sys/sys/consio.h,85
CONS_CURRENTADP,int,4,12.1src/sys/sys/consio.h,280
CONS_CURSORTYPE,int,4,12.1src/sys/sys/consio.h,117
CONS_GET,int,4,12.1src/sys/sys/consio.h,88
CONS_GETCURSORSHAPE,struct cshape,12,12.1src/sys/sys/consio.h,202
CONS_GETINFO,vid_info_t,24,12.1src/sys/sys/consio.h,274
CONS_GETTERM,term_info_t,104,12.1src/sys/sys/consio.h,324
CONS_GETVERS,int,4,12.1src/sys/sys/consio.h,277
CONS_GSAVER,ssaver_t,24,12.1src/sys/sys/consio.h,106
CONS_HISTORY,int,4,12.1src/sys/sys/consio.h,125
CONS_IDLE,int,4,12.1src/sys/sys/consio.h,175
CONS_MOUSECTL,mouse_info_t,20,12.1src/sys/sys/consio.h,172
CONS_SAVERMODE,int,4,12.1src/sys/sys/consio.h,181
CONS_SAVERSTART,int,4,12.1src/sys/sys/consio.h,184
CONS_SCRSHOT,scrshot_t,20,12.1src/sys/sys/consio.h,310
CONS_SETCURSORSHAPE,struct cshape,12,12.1src/sys/sys/consio.h,203
CONS_SETTERM,term_info_t,104,12.1src/sys/sys/consio.h,325
CONS_SSAVER,ssaver_t,24,12.1src/sys/sys/consio.h,105
GIO_ATTR,int,4,12.1src/sys/sys/consio.h,79
GIO_COLOR,int,4,12.1src/sys/sys/consio.h,82
GIO_FONT8x14,fnt14_t,3584,12.1src/sys/sys/consio.h,246
GIO_FONT8x16,fnt16_t,4096,12.1src/sys/sys/consio.h,248
GIO_FONT8x8,fnt8_t,2048,12.1src/sys/sys/consio.h,244
GIO_SCRNMAP,scrmap_t,256,12.1src/sys/sys/consio.h,75
GIO_VFONT,vfnt_t,48,12.1src/sys/sys/consio.h,250
KDGETMODE,int,4,12.1src/sys/sys/consio.h,55
KDRASTER,scr_size_t,12,12.1src/sys/sys/consio.h,67
PIO_FONT8x14,fnt14_t,3584,12.1src/sys/sys/consio.h,245
PIO_FONT8x16,fnt16_t,4096,12.1src/sys/sys/consio.h,247
PIO_FONT8x8,fnt8_t,2048,12.1src/sys/sys/consio.h,243
PIO_SCRNMAP,scrmap_t,256,12.1src/sys/sys/consio.h,76
PIO_VFONT,vfnt_t,48,12.1src/sys/sys/consio.h,249
VT_GETACTIVE,int,4,12.1src/sys/sys/consio.h,366
VT_GETINDEX,int,4,12.1src/sys/sys/consio.h,369
VT_GETMODE,vtmode_t,8,12.1src/sys/sys/consio.h,351
VT_LOCKSWITCH,int,4,12.1src/sys/sys/consio.h,372
VT_OPENQRY,int,4,12.1src/sys/sys/consio.h,332
VT_SETMODE,vtmode_t,8,12.1src/sys/sys/consio.h,350
MOUSE_GETHWID,int,4,12.1src/sys/sys/mouse.h,48
MOUSE_GETLEVEL,int,4,12.1src/sys/sys/mouse.h,39
MOUSE_SETLEVEL,int,4,12.1src/sys/sys/mouse.h,40
MOUSE_SETRATE,int,4,12.1src/sys/sys/mouse.h,47
MOUSE_SETRESOLUTION,int,4,12.1src/sys/sys/mouse.h,45
MOUSE_SETSCALING,int,4,12.1src/sys/sys/mouse.h,46
AGPIOC_DEALLOCATE,int,4,12.1src/sys/sys/agpio.h,90
IOCATAATTACH,int,4,12.1src/sys/sys/ata.h,591
IOCATADETACH,int,4,12.1src/sys/sys/ata.h,592
IOCATADEVICES,struct ata_ioc_devices,1092,12.1src/sys/sys/ata.h,593
IOCATAGMAXCHANNEL,int,4,12.1src/sys/sys/ata.h,589
IOCATAGMODE,int,4,12.1src/sys/sys/ata.h,1006
IOCATAGPARM,struct ata_params,512,12.1src/sys/sys/ata.h,1005
IOCATAGSPINDOWN,int,4,12.1src/sys/sys/ata.h,1009
IOCATARAIDADDSPARE,struct ata_ioc_raid_config,88,12.1src/sys/sys/ata.h,1056
IOCATARAIDCREATE,struct ata_ioc_raid_config,88,12.1src/sys/sys/ata.h,1053
IOCATARAIDDELETE,int,4,12.1src/sys/sys/ata.h,1054
IOCATARAIDREBUILD,int,4,12.1src/sys/sys/ata.h,1057
IOCATARAIDSTATUS,struct ata_ioc_raid_status,152,12.1src/sys/sys/ata.h,1055
IOCATAREINIT,int,4,12.1src/sys/sys/ata.h,590
IOCATAREQUEST,struct ata_ioc_request,56,12.1src/sys/sys/ata.h,1004
IOCATASMODE,int,4,12.1src/sys/sys/ata.h,1007
IOCATASSPINDOWN,int,4,12.1src/sys/sys/ata.h,1010
OTIOCGETD,int,4,12.1src/sys/sys/ioctl_compat.h,76
OTIOCSETD,int,4,12.1src/sys/sys/ioctl_compat.h,77
TIOCGETC,struct tchars,6,12.1src/sys/sys/ioctl_compat.h,83
TIOCGETP,struct sgttyb,6,12.1src/sys/sys/ioctl_compat.h,79
TIOCGLTC,struct ltchars,6,12.1src/sys/sys/ioctl_compat.h,132
TIOCLBIC,int,4,12.1src/sys/sys/ioctl_compat.h,151
TIOCLBIS,int,4,12.1src/sys/sys/ioctl_compat.h,152
TIOCLGET,int,4,12.1src/sys/sys/ioctl_compat.h,134
TIOCLSET,int,4,12.1src/sys/sys/ioctl_compat.h,150
TIOCSETC,struct tchars,6,12.1src/sys/sys/ioctl_compat.h,82
TIOCSETN,struct sgttyb,6,12.1src/sys/sys/ioctl_compat.h,81
