macro,type,size,file,line
SIOCIPFINTERROR,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,80
SIOCIPFINTERROR,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,120
SIOCIPFITER,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,73
SIOCIPFITER,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,113
SIOCIPFL6,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,72
SIOCIPFL6,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,112
SIOCIPFSET,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,71
SIOCIPFSET,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,111
SIOCLOOKUPITER,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,77
SIOCLOOKUPITER,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,117
SIOCMATCHFLUSH,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,79
SIOCMATCHFLUSH,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,119
SIOCRMAFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,43
SIOCRMAFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,83
SIOCRMIFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,50
SIOCRMIFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,90
SIOCSETLG,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,66
SIOCSETLG,int,4,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,106
SIOCSTAT1,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,60
SIOCSTAT1,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,100
SIOCSTAT2,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,65
SIOCSTAT2,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,105
SIOCSTGET,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,63
SIOCSTGET,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,103
SIOCSTGSZ,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,64
SIOCSTGSZ,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,104
SIOCSTPUT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,62
SIOCSTPUT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,102
SIOCZRLST,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,57
SIOCZRLST,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,97
SIOCDELST,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_state.h,16
SIOCDELST,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_state.h,18
SIOCADSCA,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,29
SIOCADSCA,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,33
SIOCGSCST,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,31
SIOCGSCST,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,35
SIOCRMSCA,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,30
SIOCRMSCA,struct ipscan *,8,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,34
SIOCLOOKUPADDNODE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,17
SIOCLOOKUPADDNODE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,27
SIOCLOOKUPADDNODEW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,18
SIOCLOOKUPADDNODEW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,28
SIOCLOOKUPADDTABLE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,12
SIOCLOOKUPADDTABLE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,22
SIOCLOOKUPDELNODE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,19
SIOCLOOKUPDELNODE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,29
SIOCLOOKUPDELNODEW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,20
SIOCLOOKUPDELNODEW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,30
SIOCLOOKUPDELTABLE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,13
SIOCLOOKUPDELTABLE,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,23
SIOCLOOKUPFLUSH,struct iplookupflush,32,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,16
SIOCLOOKUPFLUSH,struct iplookupflush,32,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,26
SIOCLOOKUPSTAT,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,14
SIOCLOOKUPSTAT,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,24
SIOCLOOKUPSTATW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,15
SIOCLOOKUPSTATW,struct iplookupop,48,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,25
SIOCPROXY,struct ap_control,72,12.1src/sys/contrib/ipfilter/netinet/ip_proxy.h,24
SIOCPROXY,struct ap_control,72,12.1src/sys/contrib/ipfilter/netinet/ip_proxy.h,26
VIDIOCCAPTURE,int,4,12.1src/sys/contrib/v4l/videodev.h,261
VIDIOCGAUDIO,struct video_audio,40,12.1src/sys/contrib/v4l/videodev.h,269
VIDIOCGCAP,struct video_capability,60,12.1src/sys/contrib/v4l/videodev.h,254
VIDIOCGCAPTURE,struct video_capture,20,12.1src/sys/contrib/v4l/videodev.h,275
VIDIOCGCHAN,struct video_channel,48,12.1src/sys/contrib/v4l/videodev.h,255
VIDIOCGFBUF,struct video_buffer,24,12.1src/sys/contrib/v4l/videodev.h,264
VIDIOCGFREQ,unsigned long,8,12.1src/sys/contrib/v4l/videodev.h,267
VIDIOCGMBUF,struct video_mbuf,136,12.1src/sys/contrib/v4l/videodev.h,273
