macro,file,line,type,size_i386,size_amd64
VCHIQ_IOC_AWAIT_COMPLETION,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,113,VCHIQ_AWAIT_COMPLETION_T,20,32
VCHIQ_IOC_CREATE_SERVICE,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,104,VCHIQ_CREATE_SERVICE_T,28,48
VCHIQ_IOC_DEQUEUE_MESSAGE,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,115,VCHIQ_DEQUEUE_MESSAGE_T,16,24
VCHIQ_IOC_DUMP_PHYS_MEM,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,125,VCHIQ_DUMP_MEM_T,8,16
VCHIQ_IOC_GET_CONFIG,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,118,VCHIQ_GET_CONFIG_T,8,16
VCHIQ_IOC_QUEUE_BULK_RECEIVE,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,111,VCHIQ_QUEUE_BULK_TRANSFER_T,20,40
VCHIQ_IOC_QUEUE_BULK_TRANSMIT,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,109,VCHIQ_QUEUE_BULK_TRANSFER_T,20,40
VCHIQ_IOC_QUEUE_MESSAGE,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,107,VCHIQ_QUEUE_MESSAGE_T,12,16
VCHIQ_IOC_SET_SERVICE_OPTION,sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,123,VCHIQ_SET_SERVICE_OPTION_T,12,12
SIOCADNAT,sys/contrib/ipfilter/netinet/ip_nat.h,31,struct ipfobj,52,56
SIOCGNATL,sys/contrib/ipfilter/netinet/ip_nat.h,34,struct ipfobj,52,56
SIOCGNATS,sys/contrib/ipfilter/netinet/ip_nat.h,33,struct ipfobj,52,56
SIOCPURGENAT,sys/contrib/ipfilter/netinet/ip_nat.h,35,struct ipfobj,52,56
SIOCRMNAT,sys/contrib/ipfilter/netinet/ip_nat.h,32,struct ipfobj,52,56
SIOCADAFR,sys/contrib/ipfilter/netinet/ip_fil.h,82,struct ipfobj,52,56
SIOCADIFR,sys/contrib/ipfilter/netinet/ip_fil.h,89,struct ipfobj,52,56
SIOCAUTHR,sys/contrib/ipfilter/netinet/ip_fil.h,99,struct ipfobj,52,56
SIOCAUTHW,sys/contrib/ipfilter/netinet/ip_fil.h,98,struct ipfobj,52,56
SIOCFRZST,sys/contrib/ipfilter/netinet/ip_fil.h,96,struct ipfobj,52,56
SIOCFUNCL,sys/contrib/ipfilter/netinet/ip_fil.h,108,struct ipfunc_resolve,44,56
SIOCGENITER,sys/contrib/ipfilter/netinet/ip_fil.h,114,struct ipfobj,52,56
SIOCGETFS,sys/contrib/ipfilter/netinet/ip_fil.h,86,struct ipfobj,52,56
SIOCGETLG,sys/contrib/ipfilter/netinet/ip_fil.h,107,int,4,4
SIOCGTABL,sys/contrib/ipfilter/netinet/ip_fil.h,115,struct ipfobj,52,56
SIOCGTQTAB,sys/contrib/ipfilter/netinet/ip_fil.h,118,struct ipfobj,52,56
SIOCINAFR,sys/contrib/ipfilter/netinet/ip_fil.h,92,struct ipfobj,52,56
SIOCINIFR,sys/contrib/ipfilter/netinet/ip_fil.h,93,struct ipfobj,52,56
SIOCIPFDELTOK,sys/contrib/ipfilter/netinet/ip_fil.h,116,int,4,4
SIOCIPFFB,sys/contrib/ipfilter/netinet/ip_fil.h,88,int,4,4
SIOCIPFFL,sys/contrib/ipfilter/netinet/ip_fil.h,87,int,4,4
SIOCIPFGET,sys/contrib/ipfilter/netinet/ip_fil.h,110,struct ipfobj,52,56
SIOCIPFGETNEXT,sys/contrib/ipfilter/netinet/ip_fil.h,109,struct ipfobj,52,56
SIOCIPFINTERROR,sys/contrib/ipfilter/netinet/ip_fil.h,120,int,4,4
SIOCIPFITER,sys/contrib/ipfilter/netinet/ip_fil.h,113,struct ipfobj,52,56
SIOCIPFL6,sys/contrib/ipfilter/netinet/ip_fil.h,112,int,4,4
SIOCIPFSET,sys/contrib/ipfilter/netinet/ip_fil.h,111,struct ipfobj,52,56
SIOCLOOKUPITER,sys/contrib/ipfilter/netinet/ip_fil.h,117,struct ipfobj,52,56
SIOCMATCHFLUSH,sys/contrib/ipfilter/netinet/ip_fil.h,119,struct ipfobj,52,56
SIOCRMAFR,sys/contrib/ipfilter/netinet/ip_fil.h,83,struct ipfobj,52,56
SIOCRMIFR,sys/contrib/ipfilter/netinet/ip_fil.h,90,struct ipfobj,52,56
SIOCSETLG,sys/contrib/ipfilter/netinet/ip_fil.h,106,int,4,4
SIOCSTAT1,sys/contrib/ipfilter/netinet/ip_fil.h,100,struct ipfobj,52,56
SIOCSTAT2,sys/contrib/ipfilter/netinet/ip_fil.h,105,struct ipfobj,52,56
SIOCSTGET,sys/contrib/ipfilter/netinet/ip_fil.h,103,struct ipfobj,52,56
SIOCSTGSZ,sys/contrib/ipfilter/netinet/ip_fil.h,104,struct ipfobj,52,56
SIOCSTPUT,sys/contrib/ipfilter/netinet/ip_fil.h,102,struct ipfobj,52,56
SIOCZRLST,sys/contrib/ipfilter/netinet/ip_fil.h,97,struct ipfobj,52,56
SIOCDELST,sys/contrib/ipfilter/netinet/ip_state.h,18,struct ipfobj,52,56
SIOCADSCA,sys/contrib/ipfilter/netinet/ip_scan.h,33,struct ipscan *,4,8
SIOCGSCST,sys/contrib/ipfilter/netinet/ip_scan.h,35,struct ipscan *,4,8
SIOCRMSCA,sys/contrib/ipfilter/netinet/ip_scan.h,34,struct ipscan *,4,8
SIOCLOOKUPADDNODE,sys/contrib/ipfilter/netinet/ip_lookup.h,27,struct iplookupop,36,48
SIOCLOOKUPADDNODEW,sys/contrib/ipfilter/netinet/ip_lookup.h,28,struct iplookupop,36,48
SIOCLOOKUPADDTABLE,sys/contrib/ipfilter/netinet/ip_lookup.h,22,struct iplookupop,36,48
SIOCLOOKUPDELNODE,sys/contrib/ipfilter/netinet/ip_lookup.h,29,struct iplookupop,36,48
SIOCLOOKUPDELNODEW,sys/contrib/ipfilter/netinet/ip_lookup.h,30,struct iplookupop,36,48
SIOCLOOKUPDELTABLE,sys/contrib/ipfilter/netinet/ip_lookup.h,23,struct iplookupop,36,48
