macro,file,line,type,size_i386,size_amd64
SIOCLOOKUPITER,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,117,struct ipfobj,52,56
SIOCMATCHFLUSH,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,119,struct ipfobj,52,56
SIOCRMAFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,83,struct ipfobj,52,56
SIOCRMIFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,90,struct ipfobj,52,56
SIOCSTAT1,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,100,struct ipfobj,52,56
SIOCSTAT2,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,105,struct ipfobj,52,56
SIOCSTGET,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,103,struct ipfobj,52,56
SIOCSTGSZ,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,104,struct ipfobj,52,56
SIOCSTPUT,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,102,struct ipfobj,52,56
SIOCZRLST,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,97,struct ipfobj,52,56
SIOCDELST,12.1src/sys/contrib/ipfilter/netinet/ip_state.h,18,struct ipfobj,52,56
SIOCADSCA,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,33,struct ipscan *,4,8
SIOCGSCST,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,35,struct ipscan *,4,8
SIOCRMSCA,12.1src/sys/contrib/ipfilter/netinet/ip_scan.h,34,struct ipscan *,4,8
SIOCLOOKUPADDNODE,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,27,struct iplookupop,36,48
SIOCLOOKUPADDNODEW,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,28,struct iplookupop,36,48
SIOCLOOKUPADDTABLE,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,22,struct iplookupop,36,48
SIOCLOOKUPDELNODE,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,29,struct iplookupop,36,48
SIOCLOOKUPDELNODEW,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,30,struct iplookupop,36,48
SIOCLOOKUPDELTABLE,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,23,struct iplookupop,36,48
SIOCLOOKUPSTAT,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,24,struct iplookupop,36,48
SIOCLOOKUPSTATW,12.1src/sys/contrib/ipfilter/netinet/ip_lookup.h,25,struct iplookupop,36,48
SIOCPROXY,12.1src/sys/contrib/ipfilter/netinet/ip_proxy.h,26,struct ap_control,52,72
VIDIOCGFBUF,12.1src/sys/contrib/v4l/videodev.h,264,struct video_buffer,20,24
VIDIOCGFREQ,12.1src/sys/contrib/v4l/videodev.h,267,unsigned long,4,8
VIDIOCGTUNER,12.1src/sys/contrib/v4l/videodev.h,257,struct video_tuner,52,64
VIDIOCGWIN,12.1src/sys/contrib/v4l/videodev.h,262,struct video_window,32,40
VIDIOCSFBUF,12.1src/sys/contrib/v4l/videodev.h,265,struct video_buffer,20,24
VIDIOCSFREQ,12.1src/sys/contrib/v4l/videodev.h,268,unsigned long,4,8
VIDIOCSMICROCODE,12.1src/sys/contrib/v4l/videodev.h,280,struct video_code,24,32
VIDIOCSTUNER,12.1src/sys/contrib/v4l/videodev.h,258,struct video_tuner,52,64
VIDIOCSWIN,12.1src/sys/contrib/v4l/videodev.h,263,struct video_window,32,40
VIDIOC_DQBUF,12.1src/sys/contrib/v4l/videodev2.h,1683,struct v4l2_buffer,68,88
VIDIOC_ENUMINPUT,12.1src/sys/contrib/v4l/videodev2.h,1691,struct v4l2_input,76,80
VIDIOC_ENUMSTD,12.1src/sys/contrib/v4l/videodev2.h,1690,struct v4l2_standard,64,72
VIDIOC_G_EXT_CTRLS,12.1src/sys/contrib/v4l/videodev2.h,1724,struct v4l2_ext_controls,24,32
VIDIOC_G_FBUF,12.1src/sys/contrib/v4l/videodev2.h,1679,struct v4l2_framebuffer,44,48
VIDIOC_G_FMT,12.1src/sys/contrib/v4l/videodev2.h,1675,struct v4l2_format,204,208
VIDIOC_QBUF,12.1src/sys/contrib/v4l/videodev2.h,1682,struct v4l2_buffer,68,88
VIDIOC_QUERYBUF,12.1src/sys/contrib/v4l/videodev2.h,1678,struct v4l2_buffer,68,88
VIDIOC_S_EXT_CTRLS,12.1src/sys/contrib/v4l/videodev2.h,1725,struct v4l2_ext_controls,24,32
VIDIOC_S_FBUF,12.1src/sys/contrib/v4l/videodev2.h,1680,struct v4l2_framebuffer,44,48
VIDIOC_S_FMT,12.1src/sys/contrib/v4l/videodev2.h,1676,struct v4l2_format,204,208
VIDIOC_TRY_EXT_CTRLS,12.1src/sys/contrib/v4l/videodev2.h,1726,struct v4l2_ext_controls,24,32
VIDIOC_TRY_FMT,12.1src/sys/contrib/v4l/videodev2.h,1717,struct v4l2_format,204,208
CUSE_IOCTL_ALLOC_MEMORY,12.1src/sys/fs/cuse/cuse_ioctl.h,78,struct cuse_alloc_info,8,16
CUSE_IOCTL_CREATE_DEV,12.1src/sys/fs/cuse/cuse_ioctl.h,81,struct cuse_create_dev,96,104
CUSE_IOCTL_DESTROY_DEV,12.1src/sys/fs/cuse/cuse_ioctl.h,82,struct cuse_dev *,4,8
CUSE_IOCTL_FREE_MEMORY,12.1src/sys/fs/cuse/cuse_ioctl.h,79,struct cuse_alloc_info,8,16
CUSE_IOCTL_GET_COMMAND,12.1src/sys/fs/cuse/cuse_ioctl.h,73,struct cuse_command,24,48
CUSE_IOCTL_READ_DATA,12.1src/sys/fs/cuse/cuse_ioctl.h,75,struct cuse_data_chunk,12,24
CUSE_IOCTL_SET_PFH,12.1src/sys/fs/cuse/cuse_ioctl.h,80,uintptr_t,4,8
CUSE_IOCTL_WRITE_DATA,12.1src/sys/fs/cuse/cuse_ioctl.h,74,struct cuse_data_chunk,12,24
SIOCGLAGG,12.1src/sys/net/if_lagg.h,127,struct lagg_reqall,64,80
SIOCSLAGG,12.1src/sys/net/if_lagg.h,128,struct lagg_reqall,64,80
BIOCGDLTLIST,12.1src/sys/net/bpf.h,140,struct bpf_dltlist,8,16
BIOCGETZMAX,12.1src/sys/net/bpf.h,146,size_t,4,8
BIOCGRTIMEOUT,12.1src/sys/net/bpf.h,129,struct timeval,8,16
BIOCROTZBUF,12.1src/sys/net/bpf.h,147,struct bpf_zbuf,12,24
BIOCSETF,12.1src/sys/net/bpf.h,122,struct bpf_program,8,16
BIOCSETFNR,12.1src/sys/net/bpf.h,149,struct bpf_program,8,16
BIOCSETWF,12.1src/sys/net/bpf.h,142,struct bpf_program,8,16
BIOCSETZBUF,12.1src/sys/net/bpf.h,148,struct bpf_zbuf,12,24
BIOCSRTIMEOUT,12.1src/sys/net/bpf.h,128,struct timeval,8,16
DIOCADDADDR,12.1src/sys/net/pfvar.h,1475,struct pfioc_pooladdr,1112,1136
DIOCADDALTQV0,12.1src/sys/net/pfvar.h,1464,struct pfioc_altq_v0,236,256
DIOCADDALTQV1,12.1src/sys/net/pfvar.h,1465,struct pfioc_altq_v1,272,304
DIOCADDRULE,12.1src/sys/net/pfvar.h,1441,struct pfioc_rule,2940,3040
DIOCBEGINADDRS,12.1src/sys/net/pfvar.h,1474,struct pfioc_pooladdr,1112,1136
DIOCCHANGEADDR,12.1src/sys/net/pfvar.h,1478,struct pfioc_pooladdr,1112,1136
DIOCCHANGEALTQV0,12.1src/sys/net/pfvar.h,1470,struct pfioc_altq_v0,236,256
DIOCCHANGEALTQV1,12.1src/sys/net/pfvar.h,1471,struct pfioc_altq_v1,272,304
DIOCCHANGERULE,12.1src/sys/net/pfvar.h,1453,struct pfioc_rule,2940,3040
DIOCCLRIFFLAG,12.1src/sys/net/pfvar.h,1509,struct pfioc_iface,36,40
DIOCCLRSTATES,12.1src/sys/net/pfvar.h,1445,struct pfioc_state_kill,204,224
DIOCGETADDR,12.1src/sys/net/pfvar.h,1477,struct pfioc_pooladdr,1112,1136
DIOCGETADDRS,12.1src/sys/net/pfvar.h,1476,struct pfioc_pooladdr,1112,1136
DIOCGETALTQSV0,12.1src/sys/net/pfvar.h,1466,struct pfioc_altq_v0,236,256
DIOCGETALTQSV1,12.1src/sys/net/pfvar.h,1467,struct pfioc_altq_v1,272,304
DIOCGETALTQV0,12.1src/sys/net/pfvar.h,1468,struct pfioc_altq_v0,236,256
DIOCGETALTQV1,12.1src/sys/net/pfvar.h,1469,struct pfioc_altq_v1,272,304
DIOCGETQSTATSV0,12.1src/sys/net/pfvar.h,1472,struct pfioc_qstats_v0,20,24
DIOCGETQSTATSV1,12.1src/sys/net/pfvar.h,1473,struct pfioc_qstats_v1,24,32
DIOCGETRULE,12.1src/sys/net/pfvar.h,1443,struct pfioc_rule,2940,3040
DIOCGETRULES,12.1src/sys/net/pfvar.h,1442,struct pfioc_rule,2940,3040
DIOCGETSRCNODES,12.1src/sys/net/pfvar.h,1504,struct pfioc_src_nodes,8,16
DIOCGETSTATES,12.1src/sys/net/pfvar.h,1452,struct pfioc_states,8,16
DIOCGIFSPEEDV1,12.1src/sys/net/pfvar.h,1527,struct pf_ifspeed_v1,28,32
DIOCIGETIFACES,12.1src/sys/net/pfvar.h,1507,struct pfioc_iface,36,40
DIOCKILLSRCNODES,12.1src/sys/net/pfvar.h,1510,struct pfioc_src_node_kill,104,128
DIOCKILLSTATES,12.1src/sys/net/pfvar.h,1461,struct pfioc_state_kill,204,224
DIOCOSFPADD,12.1src/sys/net/pfvar.h,1499,struct pf_osfp_ioctl,132,136
DIOCOSFPGET,12.1src/sys/net/pfvar.h,1500,struct pf_osfp_ioctl,132,136
DIOCRADDADDRS,12.1src/sys/net/pfvar.h,1489,struct pfioc_table,1100,1104
DIOCRADDTABLES,12.1src/sys/net/pfvar.h,1483,struct pfioc_table,1100,1104
DIOCRCLRADDRS,12.1src/sys/net/pfvar.h,1488,struct pfioc_table,1100,1104
DIOCRCLRASTATS,12.1src/sys/net/pfvar.h,1494,struct pfioc_table,1100,1104
DIOCRCLRTABLES,12.1src/sys/net/pfvar.h,1482,struct pfioc_table,1100,1104
DIOCRCLRTSTATS,12.1src/sys/net/pfvar.h,1487,struct pfioc_table,1100,1104
DIOCRDELADDRS,12.1src/sys/net/pfvar.h,1490,struct pfioc_table,1100,1104
DIOCRDELTABLES,12.1src/sys/net/pfvar.h,1484,struct pfioc_table,1100,1104
DIOCRGETADDRS,12.1src/sys/net/pfvar.h,1492,struct pfioc_table,1100,1104
DIOCRGETASTATS,12.1src/sys/net/pfvar.h,1493,struct pfioc_table,1100,1104
DIOCRGETTABLES,12.1src/sys/net/pfvar.h,1485,struct pfioc_table,1100,1104
DIOCRGETTSTATS,12.1src/sys/net/pfvar.h,1486,struct pfioc_table,1100,1104
DIOCRINADEFINE,12.1src/sys/net/pfvar.h,1497,struct pfioc_table,1100,1104
DIOCRSETADDRS,12.1src/sys/net/pfvar.h,1491,struct pfioc_table,1100,1104
DIOCRSETTFLAGS,12.1src/sys/net/pfvar.h,1496,struct pfioc_table,1100,1104
DIOCRTSTADDRS,12.1src/sys/net/pfvar.h,1495,struct pfioc_table,1100,1104
DIOCSETIFFLAG,12.1src/sys/net/pfvar.h,1508,struct pfioc_iface,36,40
DIOCXBEGIN,12.1src/sys/net/pfvar.h,1501,struct pfioc_trans,12,16
DIOCXCOMMIT,12.1src/sys/net/pfvar.h,1502,struct pfioc_trans,12,16
DIOCXROLLBACK,12.1src/sys/net/pfvar.h,1503,struct pfioc_trans,12,16
SIOCG80211,12.1src/sys/net80211/ieee80211_ioctl.h,601,struct ieee80211req,28,32
SIOCS80211,12.1src/sys/net80211/ieee80211_ioctl.h,600,struct ieee80211req,28,32
NETDUMPGCONF,12.1src/sys/netinet/netdump/netdump.h,73,struct netdump_conf,104,112
NETDUMPSCONF,12.1src/sys/netinet/netdump/netdump.h,74,struct netdump_conf,104,112
OSIOCAIFADDR_IN6,12.1src/sys/netinet6/in6_var.h,443,struct oin6_aliasreq,120,128
SIOCAIFADDR_IN6,12.1src/sys/netinet6/in6_var.h,444,struct in6_aliasreq,124,136
SIOCGDEFIFACE_IN6,12.1src/sys/netinet6/in6_var.h,467,struct in6_ndifreq,20,24
SIOCGETMIFCNT_IN6,12.1src/sys/netinet6/in6_var.h,487,struct sioc_mif_req6,36,40
SIOCGNBRINFO_IN6,12.1src/sys/netinet6/in6_var.h,458,struct in6_nbrinfo,48,56
SIOCSDEFIFACE_IN6,12.1src/sys/netinet6/in6_var.h,466,struct in6_ndifreq,20,24
SIOCSIFPHYADDR_IN6,12.1src/sys/netinet6/in6_var.h,446,struct in6_aliasreq,124,136
SMBIOC_LOOKUP,12.1src/sys/netsmb/smb_dev.h,149,struct smbioc_lookup,764,776
SMBIOC_OPENSESSION,12.1src/sys/netsmb/smb_dev.h,144,struct smbioc_ossn,476,488
SMBIOC_READ,12.1src/sys/netsmb/smb_dev.h,150,struct smbioc_rw,20,32
SMBIOC_REQUEST,12.1src/sys/netsmb/smb_dev.h,146,struct smbioc_rq,36,64
SMBIOC_T2RQ,12.1src/sys/netsmb/smb_dev.h,147,struct smbioc_t2rq,48,88
SMBIOC_WRITE,12.1src/sys/netsmb/smb_dev.h,151,struct smbioc_rw,20,32
SIOCAIFGROUP,12.1src/sys/sys/sockio.h,133,struct ifgroupreq,36,40
SIOCDIFGROUP,12.1src/sys/sys/sockio.h,135,struct ifgroupreq,36,40
SIOCGDRVSPEC,12.1src/sys/sys/sockio.h,125,struct ifdrv,28,40
SIOCGETSGCNT,12.1src/sys/sys/sockio.h,52,struct sioc_sg_req,20,32
SIOCGETVIFCNT,12.1src/sys/sys/sockio.h,51,struct sioc_vif_req,20,40
SIOCGIFCONF,12.1src/sys/sys/sockio.h,66,struct ifconf,8,16
SIOCGIFGMEMB,12.1src/sys/sys/sockio.h,136,struct ifgroupreq,36,40
SIOCGIFGROUP,12.1src/sys/sys/sockio.h,134,struct ifgroupreq,36,40
SIOCGIFMEDIA,12.1src/sys/sys/sockio.h,94,struct ifmediareq,40,48
SIOCGIFXMEDIA,12.1src/sys/sys/sockio.h,137,struct ifmediareq,40,48
SIOCIFGCLONERS,12.1src/sys/sys/sockio.h,131,struct if_clonereq,12,16
SIOCSDRVSPEC,12.1src/sys/sys/sockio.h,123,struct ifdrv,28,40
CDIOCCAPABILITY,12.1src/sys/sys/cdio.h,275,struct ioc_capability,12,24
CDIOCREADSUBCHANNEL,12.1src/sys/sys/cdio.h,145,struct ioc_read_subchannel,12,16
CDIOREADTOCENTRYS,12.1src/sys/sys/cdio.h,162,struct ioc_read_toc_entry,8,16
CONS_GSAVER,12.1src/sys/sys/consio.h,106,ssaver_t,24,32
CONS_SCRSHOT,12.1src/sys/sys/consio.h,310,scrshot_t,20,24
CONS_SSAVER,12.1src/sys/sys/consio.h,105,ssaver_t,24,32
GIO_VFONT,12.1src/sys/sys/consio.h,250,vfnt_t,48,72
PIO_VFONT,12.1src/sys/sys/consio.h,249,vfnt_t,48,72
IOCATAREQUEST,12.1src/sys/sys/ata.h,1004,struct ata_ioc_request,56,64
EFIIOC_GET_TABLE,12.1src/sys/sys/efiio.h,51,struct efi_get_table_ioc,20,24
EFIIOC_VAR_GET,12.1src/sys/sys/efiio.h,54,struct efi_var_ioc,36,56
EFIIOC_VAR_NEXT,12.1src/sys/sys/efiio.h,55,struct efi_var_ioc,36,56
EFIIOC_VAR_SET,12.1src/sys/sys/efiio.h,56,struct efi_var_ioc,36,56
DEV_ATTACH,12.1src/sys/sys/bus.h,121,struct devreq,140,152
DEV_CLEAR_DRIVER,12.1src/sys/sys/bus.h,128,struct devreq,140,152
DEV_DELETE,12.1src/sys/sys/bus.h,130,struct devreq,140,152
DEV_DETACH,12.1src/sys/sys/bus.h,122,struct devreq,140,152
DEV_DISABLE,12.1src/sys/sys/bus.h,124,struct devreq,140,152
DEV_ENABLE,12.1src/sys/sys/bus.h,123,struct devreq,140,152
DEV_FREEZE,12.1src/sys/sys/bus.h,131,struct devreq,140,152
DEV_RESCAN,12.1src/sys/sys/bus.h,129,struct devreq,140,152
DEV_RESET,12.1src/sys/sys/bus.h,133,struct devreq,140,152
DEV_RESUME,12.1src/sys/sys/bus.h,126,struct devreq,140,152
DEV_SET_DRIVER,12.1src/sys/sys/bus.h,127,struct devreq,140,152
DEV_SUSPEND,12.1src/sys/sys/bus.h,125,struct devreq,140,152
DEV_THAW,12.1src/sys/sys/bus.h,132,struct devreq,140,152
MEMRANGE_GET,12.1src/sys/sys/memrange.h,45,struct mem_range_op,12,16
MEMRANGE_SET,12.1src/sys/sys/memrange.h,46,struct mem_range_op,12,16
MTIOCEXTGET,12.1src/sys/sys/mtio.h,342,struct mtextget,208,216
